1 nyurdipaturla yumurrparla
1 kuyu yii
1 kuja watiya
1 yanurnu yumurrpakurra
1 kanunjumparra yanu
1 yawuluyawulukurra yinya
3 manu puyurru
1 yangkaju yuwurrurlulpa
1 karljiji ngajarri
2 kalalu mukupirriyanu
1 mungangkaju wirntija
1 kuna manu
1 manu yatiijarra
1 nyinajalpalu wirilki
1 kirrirdikirrawarnurla yawupardija
1 malamalakulkulpalujana yungkurnurnu
1 ngayilpa nyiyakantikanti
1 kalalu nyampu
1 ngulajulpalu ngurrjunyayirni
1 pinapinamanu yilyaja
2 ngayi nyina
1 jalpanku karlipa
1 larralarra yungu
1 kala waja
1 karna manu
1 kuja nyarrparakurra
1 kajulu nyinami
2 kalalu kunarrirlalku
1 ngurra yirdikirra
1 julyurlkujurnu ngulajangkaju
1 manulpa mardukuruju
1 kuyu purlkanyanungukuju
1 rdakujulpalu rdakukari
3 kalalu yapakarirli
1 kuyu panujarlunyayirni
1 ngapangka yalirlajuku
1 kalajana warluyijala
1 jurnpurnpawana nyanunguwana
1 yapangku yungkurnu
1 kujalu yalirlajuku
1 ngulajangkaju yapakarirli
2 kala wiringki
2 mardarnu warnapari
1 nganturnu ngapalpajana
3 manu yungka
1 mayi nyangu
1 kalalu lungkardajarra
1 kalalurla kankarlarraku
1 kula paarnkayarla
1 miyaluwarnu pajirniyijala
2 kuyu yungu
1 kankarlu nyarrpara
1 jintajintajarrijalpalu yulanjarni
1 watikilkija yungu
1 panukari yalumpurra
1 yapakarilpa yarlakurra
1 mardukuru pungulpalu
1 wajalu yalumpuju
2 ngulaju yangka
1 nyinjayi wardinyi
1 manu pawarlayijala
1 manu yalikariyalikarilpajana
1 karinganta kutulku
1 nyangu yapapatu
1 kanjanu pangurnu
2 jukanyayirnilpa wangkaja
1 ngulaju yimiji
1 pakarnu pakarnu
1 minija yalumpu
1 manu witawiyilpalu
1 kuyulpa panukari
1 nyirrpingka pikilyirla
1 kuyupungunyayirni yijardu
3 ngulawarnuju wirntijalpalu
4 kalalu katurnurra
1 ngurrara nyanungunyangu
1 kulkurru warluyijala
1 karntapatukurlanguku kuyulpalujana
1 karinganta rangkarrkurlu
1 nyampukula nyampukula
2 kankarlarraku wangkaja
2 ngulawarnuju yalumpuju
1 parnpa pungulpalu
1 karlarra mukupirriyanu
1 nyiyarlu yarlaku
2 nyinaja yalumpurla
1 jurnpurnpupiya yangka
1 jintajarrija karlumpayi
1 nyinajayi yaliwardingki
1 kulanpaju warrawarrakangu
1 malamalakulkulpalujana turnujarrija
1 manu wakurturdulku
1 pakakalu panu
1 mintilyilpalu miyalu
1 kari nyarrparawana
1 ngurlu yalikariyalikarilpajana
1 katirninjarniyanu yanurnulpalu
2 manu nyarrpara
1 nyampu wirntija
1 jukurrpa pungu
1 miyingalpa nyampujuku
1 kankarrarlarranyayirni ngulajangkaju
1 yali yalumpunya
1 kuja yarnkajarni
1 ngulawarnuju ngunanjayani
2 kalu karri
1 kala marnaju
1 puranjarla yijardurla
1 kuja warnmankurlangu
1 mungalyurrurlu yantarlirli
1 marlu rarramanu
1 yapakarirlilpalu yapakarirlilpalurla
1 kapurnangku kapurnangku
1 ngulawarnuju yampija
1 kuja wajalu
1 yanu yanuu
2 panukariki yaliki
1 larralarra pulkurnarrinyayirnilki
1 kantingki palya
1 ngulawarnuju yangkajujana
2 kalalu kujapurdayijala
1 kankarlarraku ngulajulpalurla
1 yangkaju yapapatu
1 kalalujana watipatuju
1 kujangkajuku warnapariji
3 kala kuja
2 warlulku yirimanu
2 ngulawarnuju ngulawarnuju
